Geneid	SRR13615479
100287102	0
653635	4
102466751	0
100302278	0
645520	0
79501	0
729737	15
102725121	1
102723897	16
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	11
81399	0
100133331	5
100288069	2
400728	9
79854	4
643837	305
284593	0
100130417	9
148398	10
26155	436
339451	19
84069	19
84808	10
57801	26
9636	63
375790	817
105369174	2
105378948	5
401934	0
54991	32
254099	1
406984	0
406983	0
554210	1
254173	16
8784	19
7293	10
51150	1158
126792	264
388581	4
118424	349
6339	16
116983	186
102465434	0
126789	33
54973	426
102465435	0
80772	161
83756	4
1855	240
102466740	0
54587	1896
54998	402
81669	788
148413	175
55052	661
441869	184
643965	0
102724312	10
64856	353
219293	63
83858	40
55210	60
339453	8
29101	1126
643988	45
142678	94
8510	0
984	231
728661	183
8511	0
728642	107
9906	308
65220	789
2782	5628
105378949	7
163688	7
339456	6
85452	0
2563	4
5590	60
100506504	11
199990	121
105378592	8
6497	1739
105378594	0
79906	49
100129534	19
11079	1497
5192	183
9651	38
55229	151
388585	2
115110	45
8764	284
100996583	11
127281	298
79258	15
100287898	13
140625	0
440556	18
63976	61
100422968	0
27237	58
1953	405
693135	0
127262	1369
49856	152
7161	31
57212	343
148870	1
388588	1
57470	551
9731	488
1677	50
339448	270
100133612	1
728716	0
284661	1
55966	35
100616489	0
100616421	0
261734	89
8514	105
26038	5
6146	4972
102724450	4
388591	62
23463	2112
148645	1
390992	0
387509	271
11332	138
54626	9
83715	26
100422975	0
8718	68
57449	526
79707	271
80835	0
3104	127
9903	956
148479	310
90326	160
55735	315
100505887	0
23261	453
9341	2638
8863	887
10911	4
3604	4
11315	2701
54206	768
102724539	0
50651	31
473	1862
102724552	1
2023	8819
102465436	0
100505975	1
765	3
155184	0
6518	47
80045	34
407040	1
9563	2315
80176	440
100506022	87
84275	215
199953	91
5293	161
644997	1
101929074	16
22883	2409
56998	815
84328	337
64802	255
100847055	1
105376719	0
116362	2049
10277	807
23095	1141
100422970	0
5226	2290
100526739	0
378708	16
1325	1
1676	340
5195	196
54897	195
148345	0
23435	1855
10747	33
6723	473
5394	885
2475	994
100873935	2
10218	84
29914	261
57540	3
101929181	0
26232	77
93611	155
26270	102
10459	178
374946	0
57085	270
284498	0
102724659	0
4524	303
1185	305
100379251	0
4878	3
4879	0
26829	0
90231	545
5351	1505
9927	1857
60672	85
102466982	0
943	86
102465836	0
7133	979
100616438	0
55187	1967
677885	0
9249	1513
102466722	1
343066	0
126767	25
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	1
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	83
10630	470
7799	798
23254	529
200197	9
55092	121
727684	0
114827	9
101927417	3
79180	405
11330	0
63036	0
51032	2
842	124
23341	356
79814	12
84301	98
6248	96
23207	601
284723	21
388595	0
54751	592
440567	89
729614	33
23013	1385
7709	140
101928566	0
149563	86
27129	2009
1187	5
1188	2
348487	0
1969	276
128272	129
101927546	2
79363	32
54455	448
26099	1760
374955	0
55707	792
114819	24
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	486
84809	128
11209	11
26869	0
729574	0
100126533	0
284729	2
100189045	0
102723383	0
6060	0
11223	14
100500876	1
100189298	0
7193	0
791226	0
9696	139
26870	0
4237	90
23400	392
6390	922
11240	658
29943	0
51702	8
100616188	0
23569	0
353238	0
55920	1091
55160	339
81569	0
101927876	0
84966	60
127707	287
5081	0
80834	0
8659	1240
100616120	0
100302276	0
126917	474
23352	2392
23065	871
51154	431
246181	2
22977	44
100506730	61
8574	679
54896	127
832	2977
100532736	0
440574	858
644068	7
4681	2
3362	1
255104	353
54546	48
23252	211
30814	0
5320	98
5322	33
26279	9
64600	0
391013	0
127733	104
101928017	11
127731	1
339505	0
55450	937
79594	489
163933	10
978	48
65018	466
102464833	0
100861548	96
1650	2266
57576	64
400745	1
50809	2723
8672	1392
100302155	0
1889	4033
100506801	1
84224	150
249	526
5909	97
84196	818
401944	66
3339	4754
23436	0
10136	0
101928043	3
29092	204
998	3293
54361	38
100616433	0
9923	502
2046	0
102466615	0
712	1050
714	732
713	957
2048	76
100616391	0
100422914	0
646262	0
729059	0
23028	926
100422866	0
100616177	0
7798	909
3352	1
100996511	37
10236	1924
80818	901
148898	47
6920	211
55616	526
1870	6
101928163	0
3399	507
259283	0
6135	16184
6924	609
100506963	15
57095	703
11313	323
2582	121
3155	549
2517	636
1269	1
100616492	0
55629	1087
10772	987
127294	41
58985	9
163702	59
284632	0
57822	9
90529	110
57185	593
100750325	1
11123	147
100506985	59
400746	87
10250	743
25932	5811
864	86
102465437	0
100616365	0
25949	1090
57035	315
6007	0
23585	719
6006	4
55219	489
26119	428
57134	406
57190	2367
56181	698
646471	28
79000	12
164091	216
3925	577
100500808	0
5051	289
2134	11
7780	8
105376910	0
84676	0
149420	224
79927	113
105376887	0
51042	110
10256	117
378807	0
101928303	0
64793	96
83442	1255
91544	101
1043	109
55057	0
257101	9
79727	0
79947	1494
101928324	1
3151	709
6195	291
100302190	0
101928728	24
8289	1039
55650	316
84243	332
2810	161
54707	132
63906	133
10726	997
8431	1
126695	90
388610	176
115572	97
6548	487
23038	1099
84065	422
644961	16
100887744	0
84958	52
9064	446
8547	80
388611	25
2827	2
10163	3012
27245	220
2268	142
2537	440
199870	249
23673	1460
5511	739
677774	0
9473	116
6118	679
27293	67
55113	91
2140	293
5724	181
22826	1477
93974	471
83667	206
54797	152
65979	539
1104	233
8420	87
6080	1
26768	2
54952	260
85028	64
692212	0
677838	13
677825	0
692073	1
115273	17
6883	290
26824	3
10691	123
105376911	1
51441	888
4985	0
2035	741
399474	158
6429	977
51102	503
10076	368
101928460	0
101929406	0
4146	4
100129196	16
7805	1261
100616164	0
400748	0
9672	2172
9698	1787
692234	0
692235	0
692200	0
79570	14
9410	453
51538	535
2170	68
347735	624
149086	1
284551	0
64129	1829
3061	5
553115	1054
1307	982
576	61
100423028	0
90853	3
8073	4141
10657	2091
55116	182
100847018	0
23633	1108
200081	1080
79140	29
56063	78
55721	40
149069	9
8668	2079
339483	89
84734	31
3932	42
3065	921
65108	1786
100128071	2
81629	29
55108	1162
728116	1
653121	256
339487	185
5928	1286
81493	74
57648	1095
8565	771
64766	275
252995	74
3208	1
113452	121
127544	244
204	1595
113451	48
55223	73
149076	414
127550	0
1912	1264
100500853	1
101929464	0
7579	130
114784	13
127540	0
402779	0
84970	0
693137	0
2709	17
127534	0
2707	11
2701	478
113444	514
58512	5
653160	33
100506144	392
9204	275
79830	191
6421	1911
9202	1092
79932	967
23154	201
339488	4
5690	1214
127703	365
63967	11
192670	527
26523	509
192669	285
27285	9
54936	283
1296	458
27095	963
55700	1911
9967	1915
79729	52
55194	67
83931	822
84967	291
127700	182
64960	829
1441	121
2899	464
100422898	0
728431	52
80149	85
102465438	0
64769	864
100847010	1
79753	317
7802	229
29889	668
284654	19
54955	315
55143	20
284656	15
149175	105
79693	119
127687	295
4520	339
3633	335
10946	1088
2275	192
51118	351
5453	2
100500801	0
339442	0
64121	1010
100527950	0
26292	10
81025	0
54933	35
79647	742
4725	1769
23499	5529
643314	476
105378950	0
353500	23
728448	32
8761	1221
101929516	0
677834	0
26508	213
84618	1
51440	1
10450	596
656	31
64064	2
105378951	2
101929536	1
54802	142
4610	69
84879	31
10487	4487
5538	2175
6018	383
127391	0
10269	1270
1298	76
64744	467
65243	18
339559	55
64789	109
127396	71
9783	119
100130557	12
4802	518
407034	0
407031	0
9132	33
163732	133
1503	177
100507178	3
200172	2
22955	720
100132074	12
1907	5
59269	293
2981	0
2980	0
22887	1029
284716	36
84217	52
79717	903
728621	38
10465	270
4904	4448
149461	46
64175	356
79078	125
100129924	2
374969	317
114625	360
51058	138
339539	2
6513	332
440584	1
105378684	0
440585	4
10969	612
102465439	1
149465	4
128218	84
149466	77
7075	1348
4352	11
991	22
64834	1237
102466723	0
112950	403
23334	601
102465440	0
81888	2
5792	5998
9682	678
100132774	4
6487	289
101929592	2
102464830	0
9048	3
9670	420
1802	240
533	669
8704	531
149473	38
6536	108
128209	0
105378952	0
55929	257
79033	544
100874278	1
55182	814
100847089	0
79639	70
339541	4
26828	0
26830	0
11004	21
6202	13862
26811	0
94161	0
94162	1
94163	2
266675	5
1263	95
343521	3
149478	12
8643	56
8891	592
79654	969
7389	1138
57643	60
400752	10
84842	3
4595	105
114034	124
10420	103
126661	60
25974	133
5052	3677
10327	1080
4678	833
149483	14
60313	1612
728963	1
51249	298
3652	236
23139	433
8503	1399
101929626	0
10103	119
55624	942
541468	16
8438	10
10489	948
7388	1581
387338	292
2166	147
729041	4
101929651	0
127343	1
100507423	4
148930	0
8569	333
148932	445
64756	872
374973	3
100130197	0
9813	3958
1580	366
163720	95
1579	6
260293	1097
199974	548
284541	2
100874253	7
10158	192
6886	182
6491	35
51727	3746
102724077	3
2301	0
84793	20
2306	16
388630	236
391037	2
200010	11
54558	275
84871	8
79656	60
101929721	0
100874313	0
1996	3
63950	0
11124	673
1031	1156
100616189	1
102466656	1
284546	1
26994	3127
22996	528
102724097	3
2060	1503
114883	1401
4898	2023
100313892	0
5865	61
51060	903
112970	0
104355143	0
91408	707
9372	728
200014	448
4998	8
84950	544
23318	416
105378722	0
2882	115
348378	0
65260	168
79699	931
440590	11
55268	625
6342	3131
100616156	0
100616458	0
100616145	0
127435	2124
6512	36
1376	337
54987	755
4116	293
100507564	9
7804	49
163742	0
63948	0
148979	3
105369175	0
55706	410
54432	510
1733	11
51668	142
115353	275
388633	3
9528	5181
127428	264
100616315	0
200008	0
606495	68
51253	589
23648	441
619518	6
26027	17
338094	6
374977	1
100527960	0
7268	26
25973	101
55001	94
163747	3
1718	4419
100126514	0
199964	20
7809	0
255738	3
23358	1521
100507634	7
100616272	0
8613	3882
5563	132
199920	18
731	0
732	0
1600	12
101926890	1
115209	252
4070	3758
114803	472
3725	845
100131060	1
101926925	1
729467	3
55277	141
100616409	0
101926944	1
51361	215
1573	83
127795	0
101926964	2
100996570	5
4774	2389
645030	0
414927	0
83941	380
10207	604
100422902	0
100422946	0
54596	23
163782	1031
7398	685
85440	828
27329	0
84938	215
199899	0
100996301	2
27022	1
102464823	0
29929	190
23421	208
84455	99
79469	2
5236	1949
4919	167
101927034	2
148581	0
57685	718
100616338	0
55225	241
3716	4594
101927084	4
105378775	3
100500854	0
406893	0
205	1294
9829	36
54741	3748
3953	2068
5142	741
101927139	0
84251	34
100422871	0
200132	28
10022	0
79819	82
57708	910
23169	257
400757	0
149233	0
3595	18
26135	3151
1647	188
55970	3453
100289178	16
9077	65
79971	1493
100302279	0
6121	4
55635	8
101927220	0
57554	1
5301	0
55631	283
9295	1504
81573	436
11147	80
1491	42
101927244	1
5733	1582
100132618	14
9406	935
406962	10
100852410	6
257194	965
100852409	0
101927295	0
127255	37
100526835	4
8790	308
51086	0
105378804	0
105378803	0
127254	10
101927320	0
1429	597
127253	475
431707	1
204962	55
34	1647
1744	31
5876	545
692085	0
26805	3
26804	0
4438	1
127247	0
101927342	0
256435	462
81849	109
102466995	0
10026	900
26289	627
26009	806
23032	1630
374986	620
374987	2
91624	568
8880	648
11080	794
54810	269
149047	0
5737	160
10964	436
10561	224
64123	2339
101927412	0
23266	1187
101927434	0
101927498	1
101927587	6
101927560	0
79739	111
5567	745
148418	46
391051	3
58511	4
80135	415
2787	690
100505741	9
1486	370
103695366	0
439927	0
117178	155
23566	18
255231	7
55283	65
126820	11
100616481	0
84144	110
148423	231
8915	277
646626	8
23576	718
3491	423
54680	455
255631	9
57489	320
102465842	0
9635	255
1179	0
22802	41
9629	1
105378828	38
51100	4280
9403	2821
9653	721
339524	808
101927844	0
105378832	1
8543	1105
100505768	0
101927891	4
5586	1136
2959	374
56267	377
494115	361
2635	637
2633	464
2634	2427
388646	13
115361	1863
115362	72
729930	0
163351	9
400759	52
23507	389
84230	775
400761	18
55144	533
105378846	0
492303	12
284695	267
343472	0
84146	733
164045	18
8317	31
7049	3880
676	3
253152	17
646817	33
284697	8
23285	88
388649	2
11146	86
79871	190
2672	9
7813	482
6125	13855
388650	666
6083	0
26782	3
22823	279
50999	1641
343099	70
100131564	100
1810	599
54874	1155
100126520	0
8412	454
100129046	1
100126348	0
100189133	3
30836	661
2730	631
24	37
9411	2742
5825	993
2152	745
101928079	16
100616321	0
126969	146
1266	4546
105378862	6
729970	107
199857	208
101928098	0
148534	350
100527978	6
101928118	7
25950	113
440594	1
100996635	50
102723661	1
101928241	0
58155	179
1806	1067
100873932	2
100873933	0
400765	0
100616452	0
406928	0
729987	0
51375	340
163404	0
100129620	0
9890	121
101928270	1
54873	3484
391059	71
178	816
23443	622
64645	836
163786	73
54482	147
127495	9
1629	618
100506007	10
8634	334
693138	1
8556	132
54112	63
100128787	0
7412	623
2135	321
148867	428
51611	321
102606465	68
101928334	71
101928370	36
1901	1923
104355286	0
118427	0
94236	0
1301	46
101928436	5
55599	172
280	145
648740	9
279	0
276	0
277	3
278	0
100129138	2
101928476	0
55170	215
22854	5
10451	950
102465839	0
100873946	0
29957	699
148545	1
653149	11
284611	707
113802	148
55119	535
163479	0
6814	694
254268	0
642864	0
29899	74
23155	661
22911	300
6884	191
56900	996
677766	2
127003	0
57535	2385
6301	1862
1952	462
84722	28
343263	0
6272	2829
5686	889
284612	50
127002	33
