Geneid	SRR13615482
100287102	0
653635	3
102466751	0
100302278	0
645520	0
79501	0
729737	4
102725121	6
102723897	15
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	54
81399	0
100133331	6
100288069	4
400728	26
79854	3
643837	1297
284593	0
100130417	1
148398	1
26155	690
339451	27
84069	1
84808	0
57801	23
9636	61
375790	300
105369174	0
105378948	0
401934	0
54991	38
254099	0
406984	0
406983	0
554210	0
254173	27
8784	1
7293	14
51150	1342
126792	310
388581	3
118424	557
6339	22
116983	225
102465434	0
126789	78
54973	595
102465435	0
80772	222
83756	7
1855	521
102466740	0
54587	2387
54998	863
81669	981
148413	177
55052	1316
441869	85
643965	0
102724312	32
64856	479
219293	26
83858	73
55210	99
339453	8
29101	2197
643988	6
142678	105
8510	0
984	293
728661	472
8511	0
728642	96
9906	94
65220	1216
2782	7321
105378949	7
163688	4
339456	26
85452	2
2563	1
5590	7
100506504	5
199990	140
105378592	17
6497	2537
105378594	0
79906	35
100129534	9
11079	2210
5192	218
9651	5
55229	259
388585	14
115110	33
8764	171
100996583	6
127281	211
79258	16
100287898	3
140625	0
440556	16
63976	35
100422968	0
27237	286
1953	101
693135	0
127262	1811
49856	216
7161	3
57212	370
148870	5
388588	8
57470	875
9731	824
1677	54
339448	344
100133612	5
728716	0
284661	0
55966	18
100616489	0
100616421	0
261734	67
8514	74
26038	0
6146	4539
102724450	17
388591	64
23463	2579
148645	0
390992	0
387509	185
11332	117
54626	0
83715	4
100422975	0
8718	113
57449	936
79707	457
80835	8
3104	149
9903	2822
148479	406
90326	326
55735	569
100505887	0
23261	501
9341	4009
8863	1398
10911	0
3604	0
11315	4206
54206	734
102724539	0
50651	30
473	2043
102724552	5
2023	12240
102465436	0
100505975	7
765	1
155184	0
6518	1388
80045	73
407040	0
9563	1960
80176	776
100506022	61
84275	656
199953	163
5293	117
644997	1
101929074	3
22883	1314
56998	1105
84328	429
64802	416
100847055	0
105376719	0
116362	3213
10277	1011
23095	1640
100422970	0
5226	7467
100526739	0
378708	9
1325	1
1676	387
5195	358
54897	54
148345	1
23435	2147
10747	30
6723	601
5394	1024
2475	1303
100873935	0
10218	7
29914	345
57540	0
101929181	0
26232	5
93611	120
26270	138
10459	182
374946	0
57085	147
284498	0
102724659	1
4524	347
1185	470
100379251	1
4878	2
4879	0
26829	2
90231	738
5351	2677
9927	3015
60672	164
102466982	0
943	126
102465836	0
7133	1103
100616438	0
55187	2060
677885	0
9249	4087
102466722	0
343066	0
126767	3
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	66
7799	852
23254	734
200197	1
55092	24
727684	0
114827	2
101927417	3
79180	329
11330	0
63036	0
51032	0
842	206
23341	469
79814	12
84301	193
6248	179
23207	874
284723	58
388595	0
54751	526
440567	243
729614	71
23013	2615
7709	175
101928566	0
149563	0
27129	5721
1187	16
1188	4
348487	0
1969	300
128272	34
101927546	1
79363	12
54455	807
26099	2180
374955	1
55707	770
114819	34
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	787
84809	151
11209	15
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	18
100500876	0
100189298	0
7193	0
791226	0
9696	114
26870	0
4237	98
23400	466
6390	2333
11240	140
29943	0
51702	0
100616188	0
23569	9
353238	0
55920	848
55160	345
81569	0
101927876	0
84966	0
127707	171
5081	0
80834	0
8659	1966
100616120	0
100302276	0
126917	408
23352	3004
23065	1163
51154	684
246181	2
22977	4
100506730	68
8574	990
54896	187
832	3184
100532736	0
440574	1352
644068	12
4681	5
3362	1
255104	447
54546	14
23252	342
30814	0
5320	357
5322	76
26279	0
64600	0
