Geneid	SRR13615481
100287102	0
653635	11
102466751	1
100302278	0
645520	0
79501	0
729737	11
102725121	0
102723897	5
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	4
81399	0
100133331	3
100288069	2
400728	7
79854	4
643837	300
284593	0
100130417	8
148398	8
26155	467
339451	13
84069	11
84808	12
57801	23
9636	59
375790	857
105369174	1
105378948	5
401934	0
54991	42
254099	1
406984	0
406983	0
554210	0
254173	17
8784	6
7293	10
51150	1227
126792	283
388581	1
118424	359
6339	16
116983	161
102465434	0
126789	40
54973	404
102465435	0
80772	157
83756	2
1855	299
102466740	0
54587	1915
54998	440
81669	739
148413	204
55052	669
441869	171
643965	0
102724312	5
64856	309
219293	78
83858	36
55210	69
339453	7
29101	1109
643988	40
142678	95
8510	1
984	227
728661	192
8511	0
728642	94
9906	319
65220	791
2782	5890
105378949	5
163688	4
339456	6
85452	0
2563	4
5590	93
100506504	17
199990	127
105378592	8
6497	1705
105378594	0
79906	41
100129534	21
11079	1558
5192	188
9651	54
55229	194
388585	4
115110	45
8764	277
100996583	5
127281	314
79258	20
100287898	16
140625	0
440556	23
63976	49
100422968	0
27237	74
1953	364
693135	0
127262	1418
49856	122
7161	38
57212	331
148870	3
388588	3
57470	552
9731	539
1677	57
339448	276
100133612	0
728716	0
284661	0
55966	30
100616489	0
100616421	0
261734	115
8514	128
26038	0
6146	4995
102724450	6
388591	53
23463	2095
148645	1
390992	0
387509	280
11332	174
54626	7
83715	33
100422975	0
8718	77
57449	517
79707	279
80835	0
3104	127
9903	956
148479	350
90326	187
55735	344
100505887	0
23261	452
9341	2728
8863	899
10911	4
3604	6
11315	2756
54206	858
102724539	1
50651	35
473	1879
102724552	7
2023	8812
102465436	0
100505975	6
765	4
155184	0
6518	56
80045	35
407040	0
9563	2422
80176	454
100506022	64
84275	202
199953	107
5293	137
644997	0
101929074	19
22883	2443
56998	834
84328	367
64802	248
100847055	0
105376719	2
116362	1945
10277	800
23095	1152
100422970	0
5226	2269
100526739	1
378708	21
1325	1
1676	343
5195	190
54897	181
148345	1
23435	1823
10747	38
6723	434
5394	986
2475	1008
100873935	0
10218	88
29914	286
57540	6
101929181	0
26232	101
93611	194
26270	103
10459	203
374946	1
57085	286
284498	0
102724659	0
4524	329
1185	341
100379251	1
4878	0
4879	0
26829	0
90231	483
5351	1565
9927	1890
60672	105
102466982	0
943	86
102465836	0
7133	966
100616438	0
55187	1982
677885	1
9249	1561
102466722	0
343066	1
126767	21
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	1
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	80
10630	490
7799	813
23254	495
200197	6
55092	111
727684	1
114827	22
101927417	3
79180	359
11330	1
63036	0
51032	2
842	137
23341	371
79814	9
84301	73
6248	86
23207	583
284723	21
388595	0
54751	642
440567	98
729614	48
23013	1369
7709	134
101928566	0
149563	101
27129	2060
1187	7
1188	1
348487	0
1969	280
128272	121
101927546	4
79363	25
54455	416
26099	1849
374955	0
55707	777
114819	25
26871	0
100126512	0
100126517	0
102724970	1
100133301	0
7195	0
55672	495
84809	125
11209	22
26869	0
729574	0
100126533	0
284729	3
100189045	0
102723383	0
6060	0
11223	16
100500876	1
100189298	0
7193	0
791226	0
9696	122
26870	0
4237	80
23400	396
6390	879
11240	710
29943	3
51702	2
100616188	0
23569	0
353238	0
55920	1075
55160	372
81569	0
101927876	0
84966	59
127707	321
5081	0
80834	0
8659	1254
100616120	0
