Geneid	SRR13615524
100287102	0
653635	17
102466751	2
100302278	0
645520	0
79501	0
729737	8
102725121	1
102723897	35
102465909	0
729759	0
100132287	1
105378947	0
101928626	2
102465432	8
81399	0
100133331	13
100288069	9
400728	3
79854	12
643837	142
284593	4
100130417	2
148398	4
26155	684
339451	60
84069	38
84808	22
57801	58
9636	74
375790	2387
105369174	3
105378948	12
401934	1
54991	136
254099	2
406984	1
406983	2
554210	3
254173	8
8784	24
7293	8
51150	1516
126792	308
388581	7
118424	469
6339	70
116983	368
102465434	0
126789	107
54973	945
102465435	0
80772	249
83756	16
1855	449
102466740	0
54587	1882
54998	474
81669	2608
148413	264
55052	780
441869	344
643965	0
102724312	20
64856	556
219293	170
83858	184
55210	115
339453	13
29101	1195
643988	85
142678	253
8510	0
984	255
728661	594
8511	1
728642	140
9906	526
65220	637
2782	4143
105378949	1
163688	21
339456	34
85452	3
2563	2
5590	209
100506504	42
199990	249
105378592	7
6497	1605
105378594	8
79906	134
100129534	50
11079	1877
5192	209
9651	191
55229	200
388585	0
115110	70
8764	740
100996583	5
127281	344
79258	31
100287898	28
140625	0
440556	12
63976	19
100422968	0
27237	121
1953	342
693135	0
127262	1402
49856	194
7161	118
57212	616
148870	7
388588	27
57470	726
9731	472
1677	132
339448	426
100133612	4
728716	0
284661	1
55966	19
100616489	0
100616421	0
261734	149
8514	159
26038	7
6146	8702
102724450	11
388591	186
23463	1123
148645	0
390992	0
387509	164
11332	82
54626	4
83715	75
100422975	0
8718	131
57449	368
79707	363
80835	8
3104	305
9903	1394
148479	570
90326	269
55735	275
100505887	0
23261	633
9341	1598
8863	721
10911	1
3604	1
11315	2645
54206	1037
102724539	0
50651	20
473	1964
102724552	4
2023	11924
102465436	0
100505975	6
765	81
155184	0
6518	50
80045	97
407040	4
9563	2780
80176	249
100506022	26
84275	132
199953	188
5293	423
644997	1
101929074	73
22883	6229
56998	784
84328	302
64802	222
100847055	0
105376719	3
116362	1476
10277	963
23095	1538
100422970	0
5226	1228
100526739	1
378708	32
1325	2
1676	302
5195	243
54897	485
148345	1
23435	1939
10747	130
6723	500
5394	1075
2475	754
100873935	1
10218	49
29914	371
57540	7
101929181	0
26232	317
93611	473
26270	150
10459	274
374946	1
57085	392
284498	0
102724659	0
4524	370
1185	417
100379251	3
4878	3
4879	0
26829	2
90231	712
5351	2728
9927	1641
60672	184
102466982	0
943	23
102465836	0
7133	660
100616438	0
55187	1828
677885	1
9249	931
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	3
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	1
10630	428
7799	980
23254	496
200197	10
55092	158
727684	1
114827	12
101927417	3
79180	418
11330	0
63036	0
51032	2
842	235
23341	438
79814	14
84301	68
6248	77
23207	733
284723	26
388595	0
54751	685
440567	163
729614	94
23013	1780
7709	247
101928566	0
149563	135
27129	223
1187	17
1188	12
348487	6
1969	544
128272	307
101927546	3
79363	44
54455	441
26099	1871
374955	0
55707	919
114819	99
26871	0
100126512	0
100126517	0
102724970	4
100133301	0
7195	0
55672	688
84809	355
11209	93
26869	0
729574	0
100126533	0
284729	3
100189045	0
102723383	0
6060	0
11223	134
100500876	0
100189298	0
7193	0
791226	0
9696	329
26870	0
4237	99
23400	709
