Geneid	SRR13615483
100287102	0
653635	2
102466751	1
100302278	0
645520	0
79501	0
729737	4
102725121	2
102723897	16
102465909	0
729759	0
100132287	0
105378947	0
101928626	2
102465432	54
81399	0
100133331	6
100288069	7
400728	8
79854	3
643837	1330
284593	0
100130417	1
148398	2
26155	704
339451	19
84069	1
84808	1
57801	19
9636	70
375790	275
105369174	0
105378948	0
401934	0
54991	46
254099	0
406984	0
406983	0
554210	0
254173	19
8784	5
7293	14
51150	1445
126792	311
388581	2
118424	582
6339	16
116983	268
102465434	0
126789	68
54973	568
102465435	0
80772	221
83756	2
1855	481
102466740	0
54587	2532
54998	827
81669	990
148413	202
55052	1395
441869	89
643965	0
102724312	27
64856	448
219293	20
83858	70
55210	92
339453	6
29101	2132
643988	3
142678	93
8510	0
984	311
728661	483
8511	0
728642	96
9906	93
65220	1211
2782	7340
105378949	6
163688	3
339456	39
85452	1
2563	3
5590	6
100506504	6
199990	138
105378592	5
6497	2604
105378594	5
79906	35
100129534	16
11079	2158
5192	232
9651	5
55229	225
388585	16
115110	29
8764	184
100996583	4
127281	205
79258	24
100287898	3
140625	0
440556	21
63976	54
100422968	0
27237	293
1953	101
693135	0
127262	1832
49856	174
7161	4
57212	321
148870	1
388588	11
57470	863
9731	856
1677	73
339448	299
100133612	5
728716	0
284661	0
55966	15
100616489	0
100616421	0
261734	52
8514	95
26038	1
6146	4598
102724450	9
388591	38
23463	2517
148645	0
390992	0
387509	202
11332	111
54626	2
83715	4
100422975	0
8718	123
57449	865
79707	405
80835	5
3104	161
9903	2799
148479	422
90326	314
55735	577
100505887	0
23261	491
9341	4005
8863	1342
10911	0
3604	2
11315	4210
54206	658
102724539	0
50651	32
473	2049
102724552	4
2023	12324
102465436	0
100505975	2
765	4
155184	1
6518	1370
80045	70
407040	0
9563	2058
80176	810
100506022	60
84275	617
199953	179
5293	104
644997	0
101929074	4
22883	1311
56998	1079
84328	434
64802	424
100847055	0
105376719	0
116362	3226
10277	1020
23095	1615
100422970	0
5226	7422
100526739	1
378708	14
1325	0
1676	405
5195	373
54897	66
148345	0
23435	2266
10747	37
6723	581
5394	1062
2475	1356
100873935	0
10218	20
29914	307
57540	0
101929181	0
26232	8
93611	147
26270	168
10459	175
374946	0
57085	175
284498	0
102724659	0
4524	364
1185	491
100379251	2
4878	4
4879	0
26829	0
90231	795
5351	2697
9927	3012
60672	157
102466982	0
943	156
102465836	0
7133	1085
100616438	0
55187	2029
677885	2
9249	4226
102466722	1
343066	0
126767	2
93190	2
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
